date_key,date,year,month,month_name,day,day_name,day_of_week,week_of_year,is_weekend
20240805,2024-08-05,2024,8,August,5,Monday,0,32,0
20240806,2024-08-06,2024,8,August,6,Tuesday,1,32,0
20240807,2024-08-07,2024,8,August,7,Wednesday,2,32,0
20240808,2024-08-08,2024,8,August,8,Thursday,3,32,0
20240809,2024-08-09,2024,8,August,9,Friday,4,32,0
20240810,2024-08-10,2024,8,August,10,Saturday,5,32,1
20240811,2024-08-11,2024,8,August,11,Sunday,6,32,1
20240812,2024-08-12,2024,8,August,12,Monday,0,33,0
20240813,2024-08-13,2024,8,August,13,Tuesday,1,33,0
20240814,2024-08-14,2024,8,August,14,Wednesday,2,33,0
20240815,2024-08-15,2024,8,August,15,Thursday,3,33,0
20240816,2024-08-16,2024,8,August,16,Friday,4,33,0
20240817,2024-08-17,2024,8,August,17,Saturday,5,33,1
20240818,2024-08-18,2024,8,August,18,Sunday,6,33,1
20240819,2024-08-19,2024,8,August,19,Monday,0,34,0
20240820,2024-08-20,2024,8,August,20,Tuesday,1,34,0
20240821,2024-08-21,2024,8,August,21,Wednesday,2,34,0
20240822,2024-08-22,2024,8,August,22,Thursday,3,34,0
20240823,2024-08-23,2024,8,August,23,Friday,4,34,0
20240824,2024-08-24,2024,8,August,24,Saturday,5,34,1
20240825,2024-08-25,2024,8,August,25,Sunday,6,34,1
20240826,2024-08-26,2024,8,August,26,Monday,0,35,0
20240827,2024-08-27,2024,8,August,27,Tuesday,1,35,0
20240828,2024-08-28,2024,8,August,28,Wednesday,2,35,0
20240829,2024-08-29,2024,8,August,29,Thursday,3,35,0
20240830,2024-08-30,2024,8,August,30,Friday,4,35,0
20240831,2024-08-31,2024,8,August,31,Saturday,5,35,1
20240901,2024-09-01,2024,9,September,1,Sunday,6,35,1
20240902,2024-09-02,2024,9,September,2,Monday,0,36,0
20240903,2024-09-03,2024,9,September,3,Tuesday,1,36,0
20240904,2024-09-04,2024,9,September,4,Wednesday,2,36,0
20240905,2024-09-05,2024,9,September,5,Thursday,3,36,0
20240906,2024-09-06,2024,9,September,6,Friday,4,36,0
20240907,2024-09-07,2024,9,September,7,Saturday,5,36,1
20240908,2024-09-08,2024,9,September,8,Sunday,6,36,1
20240909,2024-09-09,2024,9,September,9,Monday,0,37,0
20240910,2024-09-10,2024,9,September,10,Tuesday,1,37,0
20240911,2024-09-11,2024,9,September,11,Wednesday,2,37,0
20240912,2024-09-12,2024,9,September,12,Thursday,3,37,0
20240913,2024-09-13,2024,9,September,13,Friday,4,37,0
20240914,2024-09-14,2024,9,September,14,Saturday,5,37,1
20240915,2024-09-15,2024,9,September,15,Sunday,6,37,1
20240916,2024-09-16,2024,9,September,16,Monday,0,38,0
20240917,2024-09-17,2024,9,September,17,Tuesday,1,38,0
20240918,2024-09-18,2024,9,September,18,Wednesday,2,38,0
20240919,2024-09-19,2024,9,September,19,Thursday,3,38,0
20240920,2024-09-20,2024,9,September,20,Friday,4,38,0
20240921,2024-09-21,2024,9,September,21,Saturday,5,38,1
20240922,2024-09-22,2024,9,September,22,Sunday,6,38,1
20240923,2024-09-23,2024,9,September,23,Monday,0,39,0
20240924,2024-09-24,2024,9,September,24,Tuesday,1,39,0
20240925,2024-09-25,2024,9,September,25,Wednesday,2,39,0
20240926,2024-09-26,2024,9,September,26,Thursday,3,39,0
20240927,2024-09-27,2024,9,September,27,Friday,4,39,0
20240928,2024-09-28,2024,9,September,28,Saturday,5,39,1
20240929,2024-09-29,2024,9,September,29,Sunday,6,39,1
20240930,2024-09-30,2024,9,September,30,Monday,0,40,0
20241001,2024-10-01,2024,10,October,1,Tuesday,1,40,0
20241002,2024-10-02,2024,10,October,2,Wednesday,2,40,0
20241003,2024-10-03,2024,10,October,3,Thursday,3,40,0
20241004,2024-10-04,2024,10,October,4,Friday,4,40,0
20241005,2024-10-05,2024,10,October,5,Saturday,5,40,1
20241006,2024-10-06,2024,10,October,6,Sunday,6,40,1
20241007,2024-10-07,2024,10,October,7,Monday,0,41,0
20241008,2024-10-08,2024,10,October,8,Tuesday,1,41,0
20241009,2024-10-09,2024,10,October,9,Wednesday,2,41,0
20241010,2024-10-10,2024,10,October,10,Thursday,3,41,0
20241011,2024-10-11,2024,10,October,11,Friday,4,41,0
